"Album";"Location";"AlbumCoverImagePath";"TotalLyrics";"Downloads";"PDFLocation";"PDFDownloads"
"Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi";"./Lyrics/Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi";"./Lyrics/Hik Sacho Sain Huje Razi Poye Khatbi Ta Har Bazi/Duniya Ne Mari Thokar Tune Sambhal Liya.jpg";"9";"42";;"0"
"Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja";"./Lyrics/Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja";"./Lyrics/Ihe Mela Naseeban Ja Athayi Mela Sache Sain Ja/Chal Malanga Raharki Dware Chal.jpg";"3";"52";;"0"
"Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare";"./Lyrics/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare";"./Lyrics/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare/Jahinkhe Nane Kayo Aabad Uho Hath Mathe Kare.jpg";"1";"88";;"0"
"Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende";"./Lyrics/Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende";"./Lyrics/Main Sache Sain De Lad Lagiyan Mere To Gum Pare Rahende/Chher Paye Raharki Me Kanwar Piyo Nachando Wadhe.jpg";"8";"55";;"0"
"Mela Sahib 131 (Amar Shahid Sant Kanwarram Sahib)";"./Lyrics/Mela Sahib 131 (Amar Shahid Sant Kanwarram Sahib)";"./Lyrics/Mela Sahib 131 (Amar Shahid Sant Kanwarram Sahib)/Aayo Khushiyan Jo Dinh Pyara.jpg";"12";"38";;"0"
"Miscellaneous";"./Lyrics/Miscellaneous";"./Lyrics/Miscellaneous/Kosa Kohar Khani Halyo Bhag Khulya Sain Kanwarram Ja.jpg";"10";"78";;"0"
"Mujhko Satram Hi Satram Nazar Aate Hai";"./Lyrics/Mujhko Satram Hi Satram Nazar Aate Hai";"./Lyrics/Mujhko Satram Hi Satram Nazar Aate Hai/Mujhko Satram Hi Satram Nazar Aate Hai.jpg";"1";"27";;"0"
"Nale Alakh Je Bedo Taar Muhinjo (Sain Kanwarram Sahib)";"./Lyrics/Nale Alakh Je Bedo Taar Muhinjo (Sain Kanwarram Sahib)";"./Lyrics/Nale Alakh Je Bedo Taar Muhinjo (Sain Kanwarram Sahib)/Nale Alakh Je Bedo Taar Muhinjo.jpg";"1";"64";;"0"
"Nane Ke Dar Pe Mauja Hi Mauja";"./Lyrics/Nane Ke Dar Pe Mauja Hi Mauja";"./Lyrics/Nane Ke Dar Pe Mauja Hi Mauja/Nane Ke Dar Pe Mauja Hi Mauja.jpg";"1";"54";;"0"
"Nem Sahib (Badi Aarti)";"./Lyrics/Nem Sahib (Badi Aarti)";"./Lyrics/Nem Sahib (Badi Aarti)/Nem Sahib (Badi Aarti) 01.jpg";"8";"16";"./Lyrics/Nem Sahib (Badi Aarti)/Nem Sahib (Badi Aarti).pdf";"156"
"Nem Sahib (Badi Aarti) Hindi";"./Lyrics/Nem Sahib (Badi Aarti) Hindi";"./Lyrics/Nem Sahib (Badi Aarti) Hindi/Nem Sahib (Badi Aarti) Hindi 01.jpg";"8";"16";"./Lyrics/Nem Sahib (Badi Aarti) Hindi/Nem Sahib (Badi Aarti) Hindi.pdf";"79"
"Raharki Wale Tera Hi Sahara";"./Lyrics/Raharki Wale Tera Hi Sahara";"./Lyrics/Raharki Wale Tera Hi Sahara/Thiyo Aa Na Thindo Jag Me Kanwar Jehdo.jpg";"1";"65";;"0"
"Sain O Sain Tu Muhinjo Ma Tuhinjo";"./Lyrics/Sain O Sain Tu Muhinjo Ma Tuhinjo";"./Lyrics/Sain O Sain Tu Muhinjo Ma Tuhinjo/Sain O Sain Tu Muhinjo Ma Tuhinjo.jpg";"4";"78";;"0"
"Satram Chalisa";"./Lyrics/Satram Chalisa";"./Lyrics/Satram Chalisa/Satram Chalisa 00.jpg";"9";"21";"./Lyrics/Satram Chalisa/Satram Chalisa.pdf";"44"
"Satram Chalisa (Hindi)";"./Lyrics/Satram Chalisa (Hindi)";"./Lyrics/Satram Chalisa (Hindi)/Satram Chalisa (Hindi) 00.jpg";"9";"17";"./Lyrics/Satram Chalisa (Hindi)/Satram Chalisa (Hindi).pdf";"54"
"Satram Naam Ko Sathi Banalo";"./Lyrics/Satram Naam Ko Sathi Banalo";"./Lyrics/Satram Naam Ko Sathi Banalo/Satram Naam Ko Sathi Banalo.jpg";"10";"83";;"0"
"SSD Sunny Balani";"./Lyrics/SSD Sunny Balani";"./Lyrics/SSD Sunny Balani/Guru Ta Muhinjo Ahedo Faqeer Aa.jpg";"4";"76";;"0"
"Suhino Lage Tho Muhinjo Ram Garhe Chole Me";"./Lyrics/Suhino Lage Tho Muhinjo Ram Garhe Chole Me";"./Lyrics/Suhino Lage Tho Muhinjo Ram Garhe Chole Me/Sache Sain Sa Mohabbat.jpg";"1";"59";;"0"
"Sukhad Mantra";"./Lyrics/Sukhad Mantra";"./Lyrics/Sukhad Mantra/Sukhad Mantra.jpg";"2";"45";;"0"
"Tuhinja Aahyun Tuhinjo Dar Kiyen Chhade Sain Vendase";"./Lyrics/Tuhinja Aahyun Tuhinjo Dar Kiyen Chhade Sain Vendase";"./Lyrics/Tuhinja Aahyun Tuhinjo Dar Kiyen Chhade Sain Vendase/Tuhinja Aahyun Tuhinjo Dar Kiyen Chhade Sain Vendase.jpg";"13";"94";;"0"
"Tuhinja Hindh Sindh Me Paya Gunjan Nara";"./Lyrics/Tuhinja Hindh Sindh Me Paya Gunjan Nara";"./Lyrics/Tuhinja Hindh Sindh Me Paya Gunjan Nara/Biya Dar Sabhayi Visri Vaya.jpg";"1";"54";;"0"
"Wah Wah Nana Tuhinja Khazana";"./Lyrics/Wah Wah Nana Tuhinja Khazana";"./Lyrics/Wah Wah Nana Tuhinja Khazana/Wah Wah Nana Tuhinja Khazana.jpg";"9";"56";;"0"
